id,original,file,av,category,result
74,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Lionic,undetected,None
75,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Elastic,undetected,None
76,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,MicroWorld-eScan,undetected,None
77,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,CMC,undetected,None
78,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,CAT-QuickHeal,undetected,None
79,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ALYac,undetected,None
80,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Malwarebytes,undetected,None
81,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Zillya,undetected,None
82,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Paloalto,type-unsupported,None
83,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Sangfor,undetected,None
84,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,K7AntiVirus,undetected,None
85,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Alibaba,type-unsupported,None
86,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,K7GW,undetected,None
87,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Trustlook,type-unsupported,None
88,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Arcabit,undetected,None
89,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,BitDefenderTheta,undetected,None
90,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,VirIT,undetected,None
91,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Cyren,undetected,None
92,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,SymantecMobileInsight,type-unsupported,None
93,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Symantec,undetected,None
94,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,tehtris,type-unsupported,None
95,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ESET-NOD32,undetected,None
96,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,APEX,type-unsupported,None
97,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,TrendMicro-HouseCall,undetected,None
98,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Avast,undetected,None
99,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ClamAV,undetected,None
100,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Kaspersky,undetected,None
101,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,BitDefender,undetected,None
102,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,NANO-Antivirus,undetected,None
103,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,SUPERAntiSpyware,undetected,None
104,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Tencent,undetected,None
105,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,TACHYON,undetected,None
106,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Emsisoft,undetected,None
107,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Baidu,undetected,None
108,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,F-Secure,undetected,None
109,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,DrWeb,undetected,None
110,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,VIPRE,undetected,None
111,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,TrendMicro,undetected,None
112,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,McAfee-GW-Edition,undetected,None
113,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Trapmine,type-unsupported,None
114,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,FireEye,undetected,None
115,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Sophos,undetected,None
116,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Ikarus,undetected,None
117,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Avast-Mobile,undetected,None
118,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Jiangmin,undetected,None
119,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Webroot,type-unsupported,None
120,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Google,undetected,None
121,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Avira,undetected,None
122,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Antiy-AVL,undetected,None
123,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Gridinsoft,undetected,None
124,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Xcitium,undetected,None
125,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Microsoft,undetected,None
126,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ViRobot,undetected,None
127,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ZoneAlarm,undetected,None
128,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,GData,undetected,None
129,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Cynet,undetected,None
130,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,BitDefenderFalx,type-unsupported,None
131,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,AhnLab-V3,undetected,None
132,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Acronis,undetected,None
133,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,McAfee,undetected,None
134,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,MAX,undetected,None
135,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,VBA32,undetected,None
136,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Cylance,failure,None
137,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Zoner,undetected,None
138,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Rising,undetected,None
139,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Yandex,undetected,None
140,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,SentinelOne,undetected,None
141,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,MaxSecure,undetected,None
142,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Fortinet,undetected,None
143,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,AVG,undetected,None
144,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Panda,undetected,None
145,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,CrowdStrike,type-unsupported,None
0,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Bkav,undetected,None
1,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Lionic,undetected,None
2,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Elastic,undetected,None
3,less,/home/alex/Projects/MKPKResults/bin/less/less_original,MicroWorld-eScan,undetected,None
4,less,/home/alex/Projects/MKPKResults/bin/less/less_original,CMC,undetected,None
5,less,/home/alex/Projects/MKPKResults/bin/less/less_original,CAT-QuickHeal,undetected,None
6,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ALYac,undetected,None
7,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Malwarebytes,undetected,None
8,less,/home/alex/Projects/MKPKResults/bin/less/less_original,VIPRE,undetected,None
9,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Paloalto,type-unsupported,None
10,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Sangfor,undetected,None
11,less,/home/alex/Projects/MKPKResults/bin/less/less_original,K7AntiVirus,undetected,None
12,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Alibaba,type-unsupported,None
13,less,/home/alex/Projects/MKPKResults/bin/less/less_original,K7GW,undetected,None
14,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Trustlook,type-unsupported,None
15,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Arcabit,undetected,None
16,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Baidu,undetected,None
17,less,/home/alex/Projects/MKPKResults/bin/less/less_original,VirIT,undetected,None
18,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Cyren,undetected,None
19,less,/home/alex/Projects/MKPKResults/bin/less/less_original,SymantecMobileInsight,type-unsupported,None
20,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Symantec,undetected,None
21,less,/home/alex/Projects/MKPKResults/bin/less/less_original,tehtris,type-unsupported,None
22,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ESET-NOD32,undetected,None
23,less,/home/alex/Projects/MKPKResults/bin/less/less_original,APEX,type-unsupported,None
24,less,/home/alex/Projects/MKPKResults/bin/less/less_original,TrendMicro-HouseCall,undetected,None
25,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Avast,undetected,None
26,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ClamAV,undetected,None
27,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Kaspersky,undetected,None
28,less,/home/alex/Projects/MKPKResults/bin/less/less_original,BitDefender,undetected,None
29,less,/home/alex/Projects/MKPKResults/bin/less/less_original,NANO-Antivirus,undetected,None
30,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ViRobot,undetected,None
31,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Tencent,undetected,None
32,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Sophos,undetected,None
33,less,/home/alex/Projects/MKPKResults/bin/less/less_original,F-Secure,undetected,None
34,less,/home/alex/Projects/MKPKResults/bin/less/less_original,DrWeb,undetected,None
35,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Zillya,undetected,None
36,less,/home/alex/Projects/MKPKResults/bin/less/less_original,TrendMicro,undetected,None
37,less,/home/alex/Projects/MKPKResults/bin/less/less_original,McAfee-GW-Edition,undetected,None
38,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Trapmine,type-unsupported,None
39,less,/home/alex/Projects/MKPKResults/bin/less/less_original,FireEye,undetected,None
40,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Emsisoft,undetected,None
41,less,/home/alex/Projects/MKPKResults/bin/less/less_original,SentinelOne,undetected,None
42,less,/home/alex/Projects/MKPKResults/bin/less/less_original,GData,undetected,None
43,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Jiangmin,undetected,None
44,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Webroot,type-unsupported,None
45,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Google,undetected,None
46,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Avira,undetected,None
47,less,/home/alex/Projects/MKPKResults/bin/less/less_original,MAX,undetected,None
48,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Antiy-AVL,undetected,None
49,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Gridinsoft,undetected,None
50,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Xcitium,undetected,None
51,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Microsoft,undetected,None
52,less,/home/alex/Projects/MKPKResults/bin/less/less_original,SUPERAntiSpyware,undetected,None
53,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ZoneAlarm,undetected,None
54,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Avast-Mobile,undetected,None
55,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Cynet,undetected,None
56,less,/home/alex/Projects/MKPKResults/bin/less/less_original,BitDefenderFalx,type-unsupported,None
57,less,/home/alex/Projects/MKPKResults/bin/less/less_original,AhnLab-V3,undetected,None
58,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Acronis,undetected,None
59,less,/home/alex/Projects/MKPKResults/bin/less/less_original,McAfee,undetected,None
60,less,/home/alex/Projects/MKPKResults/bin/less/less_original,TACHYON,undetected,None
61,less,/home/alex/Projects/MKPKResults/bin/less/less_original,VBA32,undetected,None
62,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Cylance,type-unsupported,None
63,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Zoner,undetected,None
64,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Rising,undetected,None
65,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Yandex,undetected,None
66,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Ikarus,undetected,None
67,less,/home/alex/Projects/MKPKResults/bin/less/less_original,MaxSecure,undetected,None
68,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Fortinet,undetected,None
69,less,/home/alex/Projects/MKPKResults/bin/less/less_original,BitDefenderTheta,undetected,None
70,less,/home/alex/Projects/MKPKResults/bin/less/less_original,AVG,undetected,None
71,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Panda,undetected,None
72,less,/home/alex/Projects/MKPKResults/bin/less/less_original,CrowdStrike,type-unsupported,None
73,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Bkav,undetected,None
74,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Lionic,undetected,None
75,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Elastic,undetected,None
76,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,MicroWorld-eScan,undetected,None
77,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,CMC,undetected,None
78,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,CAT-QuickHeal,undetected,None
79,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ALYac,undetected,None
80,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Malwarebytes,undetected,None
81,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Zillya,undetected,None
82,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Paloalto,type-unsupported,None
83,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Sangfor,undetected,None
84,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,K7AntiVirus,undetected,None
85,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Alibaba,type-unsupported,None
86,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,K7GW,undetected,None
87,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Trustlook,type-unsupported,None
88,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Arcabit,undetected,None
89,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,BitDefenderTheta,undetected,None
90,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,VirIT,undetected,None
91,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Cyren,undetected,None
92,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,SymantecMobileInsight,type-unsupported,None
93,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Symantec,undetected,None
94,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,tehtris,type-unsupported,None
95,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ESET-NOD32,undetected,None
96,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,APEX,type-unsupported,None
97,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,TrendMicro-HouseCall,undetected,None
98,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Avast,undetected,None
99,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ClamAV,undetected,None
100,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Kaspersky,undetected,None
101,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,BitDefender,undetected,None
102,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,NANO-Antivirus,undetected,None
103,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,SUPERAntiSpyware,undetected,None
104,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Tencent,undetected,None
105,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,TACHYON,undetected,None
106,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Emsisoft,undetected,None
107,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Baidu,undetected,None
108,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,F-Secure,undetected,None
109,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,DrWeb,undetected,None
110,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,VIPRE,undetected,None
111,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,TrendMicro,undetected,None
112,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,McAfee-GW-Edition,undetected,None
113,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Trapmine,type-unsupported,None
114,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,FireEye,undetected,None
115,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Sophos,undetected,None
116,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Ikarus,undetected,None
117,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Avast-Mobile,undetected,None
